,A,B,C,D,E,F,other
A,11,0,11,13,2,1,1
B,1,7,11,4,2,6,0
C,6,2,37,6,5,12,5
D,0,2,9,10,2,0,1
E,20,6,50,15,24,25,6
F,0,0,0,0,0,1,0
other,0,0,0,0,0,0,0
