,A,B,C,D,E,F,other
A,20,2,5,8,2,1,0
B,10,6,22,5,1,20,0
C,27,9,58,12,4,27,1
D,1,1,0,9,1,0,0
E,14,2,13,7,16,4,0
F,0,0,0,0,0,4,0
other,0,0,0,0,0,1,1
